date,brand,campaign_name,channel,impressions,clicks,ctr,spend_usd,conversions,conversion_rate,revenue_usd,roas,cpa_usd,cpc_usd,cpm_usd
2026-01-01,Apex Athletics,Apex Athletics — Google Search Q1,Google Search,47782,2299,0.048132,14435.43,153,0.066924,15833.8,1.0969,94.35,6.28,302.11
2026-01-01,Apex Athletics,Apex Athletics — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),36263,724,0.019977,13451.98,22,0.03091,2263.95,0.1683,611.45,18.58,370.96
2026-01-01,Apex Athletics,Apex Athletics — YouTube Video Q1,YouTube Video,194282,1709,0.008798,6421.32,23,0.013706,1605.82,0.2501,279.19,3.76,33.05
2026-01-01,Apex Athletics,Apex Athletics — Programmatic Display Q1,Programmatic Display,186909,753,0.00403,4525.11,7,0.009796,449.08,0.0992,646.44,6.01,24.21
2026-01-01,Apex Athletics,Apex Athletics — TikTok Q1,TikTok,59058,1218,0.020628,7751.67,21,0.017278,1547.32,0.1996,369.13,6.36,131.26
2026-01-01,Luminara Beauty,Luminara Beauty — Google Search Q1,Google Search,13985,632,0.045192,13957.11,42,0.066802,4125.64,0.2956,332.31,22.08,998.01
2026-01-01,Luminara Beauty,Luminara Beauty — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),67746,1060,0.015651,13271.96,36,0.03404,4056.98,0.3057,368.67,12.52,195.91
2026-01-01,Luminara Beauty,Luminara Beauty — YouTube Video Q1,YouTube Video,67876,477,0.007034,7023.34,7,0.015829,546.59,0.0778,1003.33,14.72,103.47
2026-01-01,Luminara Beauty,Luminara Beauty — Programmatic Display Q1,Programmatic Display,272829,938,0.003441,3799.76,10,0.011228,632.46,0.1664,379.98,4.05,13.93
2026-01-01,Luminara Beauty,Luminara Beauty — TikTok Q1,TikTok,107279,2374,0.022132,6742.01,43,0.018252,2818.46,0.418,156.79,2.84,62.85
2026-01-01,TechNova,TechNova — Google Search Q1,Google Search,39880,2031,0.050933,17113.13,147,0.072699,18330.78,1.0712,116.42,8.43,429.12
2026-01-01,TechNova,TechNova — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),44777,732,0.016358,16898.43,18,0.025907,1590.53,0.0941,938.8,23.09,377.39
2026-01-01,TechNova,TechNova — YouTube Video Q1,YouTube Video,61556,541,0.008789,7249.52,7,0.014355,510.93,0.0705,1035.65,13.4,117.77
2026-01-01,TechNova,TechNova — Programmatic Display Q1,Programmatic Display,113415,494,0.004363,5064.04,4,0.008724,334.53,0.0661,1266.01,10.25,44.65
2026-01-01,TechNova,TechNova — TikTok Q1,TikTok,75640,1417,0.018736,8112.55,27,0.019703,2192.55,0.2703,300.46,5.73,107.25
2026-01-02,Apex Athletics,Apex Athletics — Google Search Q1,Google Search,39796,1565,0.039338,16030.53,97,0.06238,9873.62,0.6159,165.26,10.24,402.82
2026-01-02,Apex Athletics,Apex Athletics — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),194960,3338,0.017125,16633.97,87,0.026131,7657.28,0.4603,191.2,4.98,85.32
2026-01-02,Apex Athletics,Apex Athletics — YouTube Video Q1,YouTube Video,148959,1243,0.008349,7106.66,20,0.01678,1585.77,0.2231,355.33,5.72,47.71
2026-01-02,Apex Athletics,Apex Athletics — Programmatic Display Q1,Programmatic Display,371793,1607,0.004323,4429.39,16,0.010207,1244.18,0.2809,276.84,2.76,11.91
2026-01-02,Apex Athletics,Apex Athletics — TikTok Q1,TikTok,166739,3596,0.02157,7486.04,55,0.015472,3485.84,0.4656,136.11,2.08,44.9
2026-01-02,Luminara Beauty,Luminara Beauty — Google Search Q1,Google Search,33714,1435,0.042589,11049.8,93,0.065314,13008.54,1.1773,118.82,7.7,327.75
2026-01-02,Luminara Beauty,Luminara Beauty — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),135210,2626,0.019424,11890.13,72,0.027621,5695.39,0.479,165.14,4.53,87.94
2026-01-02,Luminara Beauty,Luminara Beauty — YouTube Video Q1,YouTube Video,40723,368,0.009052,6023.09,6,0.016423,506.75,0.0841,1003.85,16.37,147.9
2026-01-02,Luminara Beauty,Luminara Beauty — Programmatic Display Q1,Programmatic Display,412577,1498,0.003632,4763.31,16,0.011203,1140.18,0.2394,297.71,3.18,11.55
2026-01-02,Luminara Beauty,Luminara Beauty — TikTok Q1,TikTok,271514,5659,0.020846,7021.49,90,0.01593,6028.94,0.8586,78.02,1.24,25.86
2026-01-02,TechNova,TechNova — Google Search Q1,Google Search,41904,2094,0.049982,14671.99,116,0.05551,14011.26,0.955,126.48,7.01,350.13
2026-01-02,TechNova,TechNova — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),82374,1316,0.015983,14628.35,37,0.028603,4147.03,0.2835,395.36,11.12,177.58
2026-01-02,TechNova,TechNova — YouTube Video Q1,YouTube Video,108814,925,0.008506,7102.21,13,0.014419,1239.04,0.1745,546.32,7.68,65.27
2026-01-02,TechNova,TechNova — Programmatic Display Q1,Programmatic Display,163669,655,0.004006,5693.67,6,0.009424,384.72,0.0676,948.95,8.69,34.79
2026-01-02,TechNova,TechNova — TikTok Q1,TikTok,191106,4217,0.022067,6458.0,65,0.015613,4453.35,0.6896,99.35,1.53,33.79
2026-01-03,Apex Athletics,Apex Athletics — Google Search Q1,Google Search,9730,438,0.045059,11626.97,32,0.074805,3459.27,0.2975,363.34,26.55,1194.96
2026-01-03,Apex Athletics,Apex Athletics — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),197007,3281,0.016658,13263.71,105,0.032198,9489.92,0.7155,126.32,4.04,67.33
2026-01-03,Apex Athletics,Apex Athletics — YouTube Video Q1,YouTube Video,110111,894,0.008122,6556.5,11,0.013215,1002.51,0.1529,596.05,7.33,59.54
2026-01-03,Apex Athletics,Apex Athletics — Programmatic Display Q1,Programmatic Display,113120,391,0.003464,3978.09,4,0.010319,301.24,0.0757,994.52,10.17,35.17
2026-01-03,Apex Athletics,Apex Athletics — TikTok Q1,TikTok,137996,2799,0.020286,5391.65,52,0.018868,3407.26,0.632,103.69,1.93,39.07
2026-01-03,Luminara Beauty,Luminara Beauty — Google Search Q1,Google Search,18921,967,0.051125,11429.87,56,0.058192,6321.07,0.553,204.1,11.82,604.08
2026-01-03,Luminara Beauty,Luminara Beauty — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),235572,4741,0.020128,9557.05,132,0.027947,13402.45,1.4024,72.4,2.02,40.57
2026-01-03,Luminara Beauty,Luminara Beauty — YouTube Video Q1,YouTube Video,97541,790,0.008107,5919.72,10,0.013901,672.8,0.1137,591.97,7.49,60.69
2026-01-03,Luminara Beauty,Luminara Beauty — Programmatic Display Q1,Programmatic Display,384454,1606,0.004178,4032.96,15,0.00956,991.1,0.2458,268.86,2.51,10.49
2026-01-03,Luminara Beauty,Luminara Beauty — TikTok Q1,TikTok,229049,5649,0.024665,5771.72,110,0.019599,8757.89,1.5174,52.47,1.02,25.2
2026-01-03,TechNova,TechNova — Google Search Q1,Google Search,10366,524,0.050607,11038.9,35,0.067377,3390.62,0.3072,315.4,21.07,1064.91
2026-01-03,TechNova,TechNova — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),173803,2675,0.015396,11104.48,72,0.027068,7004.68,0.6308,154.23,4.15,63.89
2026-01-03,TechNova,TechNova — YouTube Video Q1,YouTube Video,113069,833,0.007371,6669.24,13,0.016027,934.88,0.1402,513.02,8.01,58.98
2026-01-03,TechNova,TechNova — Programmatic Display Q1,Programmatic Display,325951,1368,0.004198,3983.92,15,0.011097,1121.21,0.2814,265.59,2.91,12.22
2026-01-03,TechNova,TechNova — TikTok Q1,TikTok,39045,828,0.021222,6435.43,13,0.016807,879.09,0.1366,495.03,7.77,164.82
2026-01-04,Apex Athletics,Apex Athletics — Google Search Q1,Google Search,38506,1813,0.047086,12301.91,129,0.071226,15600.8,1.2682,95.36,6.79,319.48
2026-01-04,Apex Athletics,Apex Athletics — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),134695,2217,0.016465,13002.74,71,0.032218,6195.01,0.4764,183.14,5.87,96.53
2026-01-04,Apex Athletics,Apex Athletics — YouTube Video Q1,YouTube Video,113143,822,0.007274,5447.9,14,0.017097,1332.28,0.2445,389.14,6.63,48.15
2026-01-04,Apex Athletics,Apex Athletics — Programmatic Display Q1,Programmatic Display,184738,635,0.003442,4763.78,7,0.011361,479.13,0.1006,680.54,7.5,25.79
2026-01-04,Apex Athletics,Apex Athletics — TikTok Q1,TikTok,247214,6055,0.024494,7244.4,102,0.017004,7347.6,1.0142,71.02,1.2,29.3
2026-01-04,Luminara Beauty,Luminara Beauty — Google Search Q1,Google Search,16430,670,0.040811,12041.44,44,0.066553,6242.96,0.5185,273.67,17.97,732.89
2026-01-04,Luminara Beauty,Luminara Beauty — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),153215,2440,0.015931,11534.53,76,0.031244,8693.49,0.7537,151.77,4.73,75.28
2026-01-04,Luminara Beauty,Luminara Beauty — YouTube Video Q1,YouTube Video,92537,829,0.008966,4858.8,13,0.016192,1129.52,0.2325,373.75,5.86,52.51
2026-01-04,Luminara Beauty,Luminara Beauty — Programmatic Display Q1,Programmatic Display,180643,682,0.003778,3851.87,7,0.011002,554.5,0.144,550.27,5.65,21.32
2026-01-04,Luminara Beauty,Luminara Beauty — TikTok Q1,TikTok,235182,5226,0.022224,6046.76,94,0.01813,7944.39,1.3138,64.33,1.16,25.71
2026-01-04,TechNova,TechNova — Google Search Q1,Google Search,31210,1539,0.049323,13281.31,112,0.073095,12653.8,0.9528,118.58,8.63,425.55
2026-01-04,TechNova,TechNova — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),39507,732,0.018547,12235.13,19,0.025998,1792.16,0.1465,643.95,16.71,309.7
2026-01-04,TechNova,TechNova — YouTube Video Q1,YouTube Video,54970,454,0.008273,6436.06,5,0.012974,328.17,0.051,1287.21,14.18,117.08
2026-01-04,TechNova,TechNova — Programmatic Display Q1,Programmatic Display,180911,647,0.003576,4646.51,6,0.010135,468.5,0.1008,774.42,7.18,25.68
2026-01-04,TechNova,TechNova — TikTok Q1,TikTok,165833,3216,0.019393,5812.99,50,0.015684,3822.63,0.6576,116.26,1.81,35.05
2026-01-05,Apex Athletics,Apex Athletics — Google Search Q1,Google Search,33987,1647,0.048484,15182.86,123,0.074947,14989.78,0.9873,123.44,9.22,446.73
2026-01-05,Apex Athletics,Apex Athletics — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),244833,4140,0.016913,14203.3,123,0.029715,9802.03,0.6901,115.47,3.43,58.01
2026-01-05,Apex Athletics,Apex Athletics — YouTube Video Q1,YouTube Video,194637,1729,0.008886,6432.04,27,0.016025,2100.04,0.3265,238.22,3.72,33.05
2026-01-05,Apex Athletics,Apex Athletics — Programmatic Display Q1,Programmatic Display,121478,453,0.003734,4509.94,4,0.010239,306.77,0.068,1127.48,9.96,37.13
2026-01-05,Apex Athletics,Apex Athletics — TikTok Q1,TikTok,99265,2504,0.025227,7860.44,48,0.019458,3711.33,0.4722,163.76,3.14,79.19
2026-01-05,Luminara Beauty,Luminara Beauty — Google Search Q1,Google Search,24096,1011,0.041968,13288.07,63,0.06275,8414.69,0.6333,210.92,13.14,551.46
2026-01-05,Luminara Beauty,Luminara Beauty — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),52972,831,0.015688,10984.09,21,0.026099,2299.14,0.2093,523.05,13.22,207.36
2026-01-05,Luminara Beauty,Luminara Beauty — YouTube Video Q1,YouTube Video,100992,716,0.007098,6821.34,10,0.015097,798.63,0.1171,682.13,9.53,67.54
2026-01-05,Luminara Beauty,Luminara Beauty — Programmatic Display Q1,Programmatic Display,247437,968,0.003913,3865.55,10,0.010441,744.46,0.1926,386.56,3.99,15.62
2026-01-05,Luminara Beauty,Luminara Beauty — TikTok Q1,TikTok,126014,2902,0.023036,5551.66,52,0.018179,4496.18,0.8099,106.76,1.91,44.06
2026-01-05,TechNova,TechNova — Google Search Q1,Google Search,12442,492,0.039555,15714.12,33,0.068386,3238.85,0.2061,476.19,31.94,1262.99
